name,location,rate,approx_cost(for two people),cuisines,votes
Glen's Bakehouse,Lavelle Road,4.4,600.0,"Bakery, Cafe, Italian, Desserts",1115
Slate Cafe,JP Nagar,4.1,600.0,"Cafe, Sandwich, Burger",53
The Trundle,Jayanagar,3.7,700.0,"Chinese, Thai, Continental, North Indian",133
PSV's Andhra Paradise,HSR,3.5,600.0,"Andhra, Chinese, North Indian, Hyderabadi",117
Mani's Dum Biryani,Kalyan Nagar,3.5,750.0,"Biryani, Kebab",119
Mumbai Spice,Malleshwaram,3.7,400.0,"North Indian, Chinese",100
Mitran Da Junction,Koramangala 6th Block,4.1,600.0,North Indian,320
Waffle Stories,Banaswadi,3.8,300.0,"Desserts, Beverages",31
Domino's Pizza,New BEL Road,3.9,400.0,"Pizza, Fast Food",487
Regency Park,Kammanahalli,3.6,700.0,"North Indian, Chinese, Seafood, Rolls",147
Hammered,Cunningham Road,4.7,1300.0,"North Indian, Thai, Japanese, Continental, Cafe",4811
Roll Over,Jayanagar,4.1,500.0,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",438
Pizza Stop,Cunningham Road,3.9,600.0,"Pizza, Italian",146
Capsicum Family Restaurant,BTM,3.8,800.0,"Biryani, North Indian",254
Wall Street 657,Indiranagar,4.1,1200.0,"Finger Food, Continental",1858
Frozen Bottle,Electronic City,4.1,400.0,"Beverages, Desserts",209
Ente Keralam,Ulsoor,4.0,1300.0,"Kerala, Seafood",1096
Watson's,JP Nagar,4.0,1300.0,"Finger Food, Chinese, Continental",1010
Carlos Cake Cafe,Sarjapur Road,3.8,300.0,"Bakery, Desserts",83
Chung's Chinese Corner,Malleshwaram,4.1,600.0,"Chinese, Asian, American, Seafood",444
The Belgian Waffle Co.,Koramangala 5th Block,4.2,350.0,"Desserts, Beverages",180
Yak's Kitchen,Brigade Road,4.0,400.0,"Chinese, Tibetan, Momos",166
Corner House Ice Cream,Indiranagar,4.7,400.0,"Ice Cream, Desserts",2174
Swathi Maharaja,Koramangala 4th Block,3.7,750.0,"Andhra, North Indian, Chinese, Biryani",291
Lassi Resto Cafe,Electronic City,3.7,200.0,"Beverages, Fast Food",152
Paratha Plaza,Koramangala 5th Block,3.9,250.0,North Indian,41
Regency Park,Kammanahalli,3.6,700.0,"North Indian, Chinese, Seafood, Rolls",147
Yummy Biryani,Koramangala 7th Block,3.8,200.0,Biryani,41
Foodiction,Banashankari,2.8,500.0,"North Indian, Fast Food, Chinese, Burger",506
California Burrito,Whitefield,3.9,400.0,"Mexican, Fast Food",123
Punjabi Times,Bannerghatta Road,4.1,1000.0,North Indian,1027
Burger King,Electronic City,3.8,600.0,"Burger, Fast Food, Beverages",560
Trick Or Treat,Brigade Road,4.2,500.0,"Cafe, Burger, Continental, Pizza, Steak",618
Fusion Lounge,Brigade Road,2.0,1500.0,Finger Food,398
Peace Restaurant,Shanti Nagar,2.9,500.0,"Chinese, Tibetan, North Indian",111
Antarastriya,Malleshwaram,3.9,200.0,"Chinese, Fast Food, Momos",461
Healthie,Sarjapur Road,3.9,600.0,"Healthy Food, Beverages",70
Grilliez,HSR,4.1,600.0,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",564
20 Char - Sterlings MAC Hotel,Old Airport Road,4.0,1400.0,"Chinese, Continental, North Indian, South Indian, Arabian",427
Oregano Soul Food,Whitefield,4.1,700.0,Cafe,142
Mecaf Family Restaurant,BTM,3.9,600.0,"North Indian, Chinese, Fast Food, Rolls, Beverages",214
The Chameleon,Electronic City,4.1,1200.0,Finger Food,163
Refresh,Whitefield,3.6,400.0,"Continental, Chinese, Fast Food, Rolls, Momos",297
Sarjapur Social,Sarjapur Road,4.6,1500.0,"American, North Indian, Chinese, Finger Food",1193
Wat-a-Burger!,Jayanagar,3.9,500.0,"Burger, Sandwich, Beverages",109
Hyderabadi Biryani Hub,BTM,3.6,600.0,"Biryani, North Indian, Chinese",221
Smokey Tribe Restaurant,Koramangala 7th Block,3.8,650.0,"North Eastern, Chinese",265
Little Kitchen,Koramangala 1st Block,3.6,400.0,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",82
Le Gateau - The Cake Shop,Old Airport Road,4.4,600.0,"Desserts, Bakery",536
Odissi Restaurant,BTM,2.9,200.0,Oriya,67
Rajdhani Thali Restaurant,Whitefield,3.9,900.0,"Rajasthani, Gujarati, North Indian",902
Puff Cafe,New BEL Road,3.7,700.0,"Cafe, Italian, American",126
Aramane Donne Biriyani,BTM,3.9,300.0,"Biryani, Fast Food",191
Avista Cafe Pizzeria,Hennur,4.5,650.0,"Cafe, Italian",506
Aashish Foods,Marathahalli,3.8,150.0,North Indian,35
Khazana Food Paradise,Richmond Road,4.1,400.0,"North Indian, Biryani",362
Hyderabadi Biryani Hub,BTM,3.6,600.0,"Biryani, North Indian, Chinese",218
La Pino'z Pizza,Koramangala 4th Block,4.1,600.0,"Italian, Pizza, Beverages",509
Gundappa Donne Biryani,Koramangala 7th Block,3.1,200.0,Biryani,117
Corner House Ice Cream,Marathahalli,4.5,400.0,"Ice Cream, Desserts",971
Pecos Hideout,BTM,4.0,1100.0,Finger Food,169
Tummy Fuel,Jayanagar,4.2,400.0,"Cafe, Beverages, Fast Food",450
Kebarbiq,Koramangala 7th Block,4.0,800.0,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",138
Masala Klub - The Taj West End,Race Course Road,4.4,4000.0,"North Indian, South Indian",309
Shaken & Stirred,Race Course Road,3.9,1500.0,"Continental, North Indian, Chinese",86
Dreamcatcher,Bannerghatta Road,3.9,600.0,Cafe,49
TLP Cafe,Malleshwaram,3.9,400.0,"Cafe, Italian",252
Mainland China,Whitefield,4.7,1700.0,Chinese,1542
Oregano Pizzeria,Koramangala 4th Block,3.7,450.0,"Cafe, Italian, Pizza",52
Swadista Aahar,BTM,4.2,300.0,"South Indian, North Indian, Chinese, Street Food",787
A2B - Adyar Ananda Bhavan,Electronic City,3.6,400.0,"South Indian, North Indian, Chinese, Street Food, Fast Food",213
The Only Place,Church Street,4.2,1000.0,"Italian, American, Steak, Continental, BBQ, Salad",2934
Munchies,Brigade Road,3.9,250.0,"Fast Food, Bakery",64
Chapter One Bar | Maiin,New BEL Road,4.2,1400.0,"Continental, Italian, North Indian",997
Starbucks,JP Nagar,4.2,700.0,"Cafe, Desserts",386
Northern Route,St. Marks Road,4.1,300.0,"North Indian, Street Food",159
Ande Ka Funda,Kumaraswamy Layout,3.3,250.0,"North Indian, Fast Food, Rolls",117
Roll Over,Malleshwaram,3.9,500.0,"Ice Cream, Beverages, Fast Food",89
Tarbouche,Koramangala 5th Block,4.1,300.0,"Turkish, Rolls",268
Konark Vegetarian Restaurant,Residency Road,4.1,500.0,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",1014
Bologna,Indiranagar,4.5,1000.0,Italian,769
Salem Kitchen,Brookefield,3.4,550.0,"Chettinad, Chinese, South Indian",230
WOW! Momo,Koramangala 7th Block,3.8,400.0,"Tibetan, Momos",102
Pappu Da Dhaba,Jayanagar,3.0,400.0,"North Indian, Fast Food, Beverages, Momos",57
Malabar,Jeevan Bhima Nagar,3.0,400.0,"Kerala, Seafood, Biryani",162
Sai Santhi Cafe,Marathahalli,3.8,400.0,"South Indian, North Indian, Chinese",69
Hoppipola,Church Street,4.3,1300.0,"Continental, Mediterranean, European",1708
Chocolate D'Luxe,Lavelle Road,4.1,550.0,Desserts,183
The Local - Terrace Drinkery,Koramangala 6th Block,4.0,1000.0,"Continental, American, Pizza, BBQ",1408
Hunan,Koramangala 5th Block,4.3,1100.0,"Chinese, Thai, Momos",2246
Laughing Llama Gastropub,Brigade Road,4.3,1600.0,"Finger Food, Continental, Pizza",394
Asha Sweets Center,Indiranagar,4.1,200.0,"Mithai, Street Food",57
Cafe Coffee Day The Lounge,HSR,3.8,650.0,"Cafe, Fast Food",76
Drunken Monkey,Marathahalli,3.9,400.0,"Beverages, Fast Food",97
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Ulsoor,4.2,500.0,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",382
Somilan Steak House,Church Street,4.3,800.0,"North Eastern, Asian, Naga, Steak, Momos",544
Barcode,Koramangala 4th Block,3.8,1300.0,"South Indian, North Indian",170
Protein Grillhouse,Jayanagar,4.2,800.0,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",174
Bhukkhad Baba,JP Nagar,3.7,250.0,"North Indian, Beverages",132
Donne Biriyani Mane,Indiranagar,3.8,400.0,"Biryani, Kebab",140
Bangalore Mandarin,Indiranagar,4.2,1100.0,"Chinese, Seafood",974
Happy Belly Bakes,Frazer Town,4.1,350.0,"Bakery, Cafe",252
Iyengar's Inn,Jayanagar,4.1,100.0,South Indian,53
Kopper Kadai,Koramangala 5th Block,4.1,1200.0,"North Indian, Chinese",1697
Paratha Plaza,HSR,3.1,200.0,North Indian,82
The Oriental Spice - Ashraya Hotel,Infantry Road,3.9,1300.0,"Chinese, Thai, Indonesian",158
Flow - Terrace Bar & Grill,JP Nagar,3.8,1000.0,"Pizza, Continental, North Indian, Chinese",82
Portland Steakhouse & Cafe,MG Road,4.3,1500.0,"Steak, Italian, Continental, American, Burger, BBQ, Salad",2053
Belgian Waffle Factory,Kalyan Nagar,4.8,400.0,Desserts,265
Corner House Ice Cream,Jayanagar,4.5,400.0,"Ice Cream, Desserts",847
Aalishan Restaurant & Caterer,Koramangala 7th Block,3.5,650.0,"North Indian, Mughlai",888
Firangi Bake,Marathahalli,4.1,600.0,"Mexican, Italian",49
Pani Kum Chai,Jayanagar,3.9,200.0,Fast Food,67
Trick Or Treat,Brigade Road,4.2,500.0,"Cafe, Burger, Continental, Pizza, Steak",619
Copper Chimney,Indiranagar,4.2,1200.0,"North Indian, Biryani",97
Foxtrot - House of Subculture,Koramangala 3rd Block,4.4,1000.0,"Cafe, American, Asian, North Indian",377
Prasiddhi Food Corner,JP Nagar,3.7,200.0,"Fast Food, North Indian, South Indian",170
Spice It,Richmond Road,3.8,1200.0,"North Indian, Continental, Italian",52
1131 Bar + Kitchen,Indiranagar,4.4,1500.0,"Continental, Asian, Italian, North Indian",2861
The Waffle Press,St. Marks Road,4.2,400.0,"Desserts, Ice Cream",122
Eat Repeat,Basavanagudi,3.9,150.0,South Indian,101
Smacznego,Banashankari,4.2,550.0,"Cafe, Mexican, Italian, Momos, Beverages",504
BISO - Citrus Hotels,Cunningham Road,3.9,1100.0,"North Indian, South Indian, Italian, Continental",158
Coastal Delight,Indiranagar,4.1,650.0,"Seafood, South Indian, North Indian, Mangalorean, Chinese",198
Aioli,Kalyan Nagar,4.2,1400.0,"Mediterranean, Continental, Italian, Salad",783
The Ants Cafe & Store,Indiranagar,3.9,800.0,"Cafe, Italian, Fast Food",1387
Off D' Hook,Marathahalli,3.7,800.0,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab",88
Natural Ice Cream,New BEL Road,4.3,200.0,"Ice Cream, Beverages",273
Kabab Magic,Marathahalli,3.0,500.0,"North Indian, Kebab, Fast Food",451
Dialogues,JP Nagar,4.0,600.0,"Cafe, Continental",129
Barbeque Station,Koramangala 7th Block,2.8,700.0,"North Indian, Chinese, BBQ",152
Deja Vu Resto Bar,Bannerghatta Road,4.4,900.0,"North Indian, Italian",2496
TAB - Take A Break,JP Nagar,4.1,550.0,"Cafe, Continental, Italian",521
Baskin Robbins,JP Nagar,3.9,250.0,Ice Cream,86
Thalassery Restaurant,Marathahalli,3.1,500.0,"Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",509
Sri Vishnu Park,BTM,3.8,350.0,"South Indian, North Indian, Chinese",99
Chulha Chauki Da Dhaba,Marathahalli,4.1,1000.0,North Indian,295
Donne Biriyani Mane,Church Street,3.5,400.0,"Biryani, Kebab",62
Apsara Ice Cream,HSR,4.5,200.0,"Ice Cream, Desserts",194
Sunny's,Lavelle Road,4.1,2100.0,"European, Italian, Seafood, Continental",1341
Brew Meister,Jayanagar,4.1,1500.0,"North Indian, Continental, Finger Food, American, Asian",1008
Stories,JP Nagar,4.2,1200.0,"American, Chinese, Continental, North Indian",2206
Vaho Kafe & Pressery,Bannerghatta Road,3.9,500.0,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",125
Bon Sante,Brigade Road,3.6,800.0,"Cafe, Continental, Italian",104
Sai Foods,Marathahalli,4.1,200.0,North Indian,123
Delitz Creamvilla Cafe,Bellandur,4.0,600.0,"Cafe, Desserts, Ice Cream",74
Apna Punjab,BTM,3.7,450.0,"North Indian, Chinese, Fast Food",476
Delightz,Koramangala 6th Block,4.0,300.0,"Desserts, Fast Food",40
Steaming Mugs,Basavanagudi,4.0,700.0,Cafe,241
Toscano,Koramangala 7th Block,4.5,1500.0,"Italian, Salad",710
Chakum Chukum Calcutta On A Roll,Indiranagar,3.4,400.0,"Fast Food, Rolls",89
Dhadoom,Malleshwaram,4.0,300.0,"North Indian, Street Food, Pizza, Burger, Sandwich",58
Foodishq,Whitefield,3.7,450.0,North Indian,72
The Spice Bazaar,Lavelle Road,4.2,1000.0,"North Indian, Mughlai",337
Little Italy,Kalyan Nagar,4.2,1500.0,"Salad, Healthy Food, Italian, Juices, Mexican, Pizza",405
Soda Bottle Opener Wala,Lavelle Road,4.4,1300.0,"Parsi, North Indian",3727
Donne Biriyani House,Indiranagar,4.0,300.0,Biryani,472
Sotally Tober,Koramangala 4th Block,4.4,1200.0,"Asian, Burger, Pizza, Chinese, Finger Food",4081
Cafe Coffee Day,Indiranagar,3.7,900.0,"Cafe, Fast Food",72
Upahara Darshini,Basavanagudi,3.9,600.0,"North Indian, Chinese, South Indian, Fast Food",40
Enerjuvate Studio & Cafe,Jayanagar,4.2,800.0,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",738
Chocolate D'Luxe,Lavelle Road,4.1,550.0,Desserts,183
Sweet Truth,Old Airport Road,4.3,500.0,"Bakery, Desserts",26
Subway,Bannerghatta Road,3.2,600.0,"Salad, Fast Food",166
Sabari Juice Junction,Jeevan Bhima Nagar,4.1,250.0,"Beverages, Sandwich",128
Chapati House,Ejipura,3.9,300.0,North Indian,34
Mars Chicken Delight,Koramangala 1st Block,3.7,500.0,"North Indian, Chinese, Biryani, Beverages",107
Chapati House,Ejipura,3.9,300.0,North Indian,34
Mani's Dum Biryani,Bellandur,4.0,750.0,"Biryani, Kebab",894
Jai Jinendra,Koramangala 6th Block,4.0,200.0,"Street Food, Beverages",98
Tandoor Garden,BTM,3.6,350.0,"North Indian, Chinese, Kebab",71
Brews N Bites,Jayanagar,2.9,650.0,"Chinese, Fast Food, Cafe",62
20 Feet High,Church Street,4.0,1000.0,"American, Continental, Steak, Salad",941
Sloshed,Basaveshwara Nagar,3.9,1200.0,"Arabian, Chinese, Continental, North Indian, Finger Food",96
Marzipan Cafe & Bakery,Ulsoor,4.2,700.0,"Cafe, Mediterranean, Bakery, Greek",431
Kanti Sweets,Jayanagar,3.9,400.0,"Mithai, Street Food",148
New Punjabi Hotel,BTM,3.7,400.0,"North Indian, Chinese",178
Ramji Chaiwale,Koramangala 1st Block,3.8,250.0,"Beverages, Fast Food",93
Natural Ice Cream,Basaveshwara Nagar,4.2,200.0,"Ice Cream, Beverages",148
Parika Multicuisine Restaurant,Richmond Road,3.8,1200.0,"North Indian, Chinese, Mughlai",203
The Black Pearl,Koramangala 5th Block,4.7,1400.0,"North Indian, European, Mediterranean",10471
Ruchis Point,Banashankari,3.8,200.0,"Fast Food, Chinese",75
Veena Stores,Malleshwaram,4.5,150.0,South Indian,2407
Calvin's,Koramangala 5th Block,3.8,800.0,Desserts,433
FreshMenu,Koramangala,3.9,450.0,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",582
Not Just Parathas,Kaggadasapura,3.8,500.0,"North Indian, Chinese",170
Andhra Ruchulu,JP Nagar,4.2,800.0,"Andhra, North Indian",1430
Bathinda Dine,Bellandur,4.0,950.0,North Indian,230
Asha Sweets Centre,JP Nagar,3.9,250.0,"Mithai, Street Food",42
Chapter One Bar | Maiin,New BEL Road,4.2,1400.0,"Continental, Italian, North Indian",997
Shanmukha,Whitefield,3.9,800.0,"Biryani, Andhra, North Indian, Chinese",770
Kabab Magic,BTM,3.8,500.0,"North Indian, Kebab, Fast Food",884
Chef Baker's,Bellandur,3.6,600.0,"Bakery, Fast Food, Pizza, Burger",136
Panchavati Gaurav Thali,Brigade Road,4.0,800.0,"Rajasthani, Gujarati",930
Ghee Positive,Koramangala 8th Block,3.8,300.0,"North Indian, Chinese",48
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,4.4,1500.0,"North Indian, Mughlai, Biryani",677
Calicut Restaurant,Kammanahalli,3.6,450.0,"Kerala, South Indian, North Indian, Chinese",76
55 Wall Street,JP Nagar,3.9,1300.0,"Finger Food, North Indian, Chinese",1779
Eggzotic,Domlur,3.9,500.0,"North Indian, Chinese, Biryani, Fast Food",391
Niice Cream,Koramangala 5th Block,3.8,400.0,"Ice Cream, Beverages, Desserts",38
Zingron,Koramangala 7th Block,4.0,750.0,"Chinese, Naga",510
Zeeshan,Koramangala 7th Block,3.8,700.0,"North Indian, Kebab, Biryani, Rolls",214
Fresh Pressery Cafe,Lavelle Road,4.1,1200.0,"Cafe, Italian, Healthy Food",104
Tiamo - Conrad Bengaluru,Ulsoor,4.2,2500.0,"Italian, Mediterranean",149
Halli Mane,Malleshwaram,4.0,250.0,"South Indian, North Indian, Chinese",1192
Hyderabad Biryaani House,Koramangala 5th Block,4.1,750.0,"Biryani, North Indian, Chinese, Hyderabadi",1118
Pin Me Down,BTM,4.5,800.0,"Continental, Mexican, Chinese, North Indian",811
Lazeez,Koramangala 5th Block,3.2,600.0,"North Indian, Mughlai, Biryani",908
Subway,Basavanagudi,3.8,500.0,"Salad, Fast Food, Sandwich, Healthy Food",177
Carnival de Goa,Ulsoor,4.2,1000.0,"Goan, Mangalorean, Pizza",980
Rahhams,Kammanahalli,3.5,700.0,"Mughlai, North Indian, Chinese",316
Myu Bar at Gilly's Redefined,Koramangala 4th Block,4.4,1200.0,"American, North Indian, Pizza, Finger Food, Continental, Italian",1237
Momoz,Kammanahalli,3.9,500.0,"Chinese, Momos, Seafood",187
CTR,Malleshwaram,4.7,150.0,South Indian,4408
Barbeque Nation,Ulsoor,4.4,1600.0,"North Indian, European, Mediterranean, BBQ, Kebab",1081
55 Wall Street,JP Nagar,3.9,1300.0,"Finger Food, North Indian, Chinese",1774
Chai Cafe,Indiranagar,3.9,200.0,Cafe,49
Tandoori Knight,Banashankari,3.0,450.0,"North Indian, Chinese, Biryani, Kebab",290
Mumbai Kulfi,HSR,4.0,100.0,Ice Cream,92
Calvin's,Koramangala 5th Block,3.8,800.0,Desserts,434
Gilly's Restobar,Koramangala 5th Block,4.5,1000.0,"Finger Food, Continental, North Indian",3919
Hyderabadi Biryani Hub,BTM,3.6,600.0,"Biryani, North Indian, Chinese",221
Jade,Brookefield,3.7,750.0,"Chinese, Seafood, Momos",690
Kund Indian Barbeque,Indiranagar,4.0,1100.0,"North Indian, Mughlai",869
Bansuri Sweets,Koramangala 6th Block,3.7,250.0,"Mithai, North Indian, Street Food",73
Masala Central,Frazer Town,3.7,300.0,North Indian,74
Cravy Wings,Bannerghatta Road,4.2,400.0,"American, Burger, Fast Food",289
Haji Ali Juice Centre,Commercial Street,4.1,350.0,"Fast Food, Pizza, Rolls, Beverages, Juices",80
Communiti,Residency Road,4.7,1500.0,"Continental, BBQ, Salad",3920
Murphy's Brewhouse - The Paul Bangalore,Domlur,4.3,1700.0,"Continental, North Indian, Finger Food",2039
TLP Cafe,Malleshwaram,3.9,400.0,"Cafe, Italian",252
Citrus Cafe - Lemon Tree Hotel,Electronic City,3.9,2200.0,"North Indian, Continental, South Indian",285
Punjab Bistro,Whitefield,4.2,1500.0,North Indian,84
Chai Point,HSR,4.0,250.0,"Fast Food, Beverages",323
Little Chef,Richmond Road,4.0,550.0,Chinese,102
Royal Treat,Koramangala 5th Block,4.1,500.0,"North Indian, Chinese, Biryani",442
Hotel Crossroads,Marathahalli,3.6,650.0,"Andhra, Biryani",87
Ujwal Restaurant,Vasanth Nagar,3.9,550.0,"Seafood, North Indian, Chinese",134
Hotel Moonlight,Malleshwaram,3.9,500.0,"Chinese, North Indian",115
KFC,BTM,4.0,400.0,"Burger, Fast Food",358
Kanti Sweets,Brookefield,4.2,400.0,"Mithai, Street Food",226
Royal Paris,BTM,3.8,1000.0,"North Indian, Arabian, Chinese",71
Sonar Bangala,Koramangala 5th Block,3.8,500.0,"Bengali, North Indian",76
Desi Wok,BTM,2.7,500.0,"North Indian, Chinese",76
Narmadha's Hyderabad Biriyani,BTM,3.9,600.0,"Biryani, Hyderabadi",207
Richie Rich,Race Course Road,4.0,450.0,"Desserts, Beverages, Fast Food, Ice Cream",630
TRUE BLEU RESTO CAFE,HSR,4.2,400.0,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",70
Flavours Inn,New BEL Road,3.7,500.0,"Kerala, North Indian, Chinese",59
Soul Indian Specialty - Svenska Design Hotel,Electronic City,3.7,2000.0,"North Indian, South Indian, Asian, Italian, Continental",266
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,4.4,1200.0,Chinese,127
The Grill House,Ulsoor,4.1,1200.0,"American, Mexican, Italian, Steak",770
Kabab Mehal,JP Nagar,3.8,400.0,"North Indian, Chinese, Kebab, Juices",234
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,4.1,1200.0,"Italian, Fast Food, Salad, BBQ",1064
Brownie Heaven,Cunningham Road,4.2,300.0,"Desserts, Fast Food",34
Khai Khai,HSR,3.9,450.0,Bengali,50
My Tea House,Banashankari,3.6,600.0,"Italian, Fast Food, Cafe, European",62
Airlines Hotel,Lavelle Road,4.0,400.0,"South Indian, North Indian, Street Food",872
7 Plates,Frazer Town,3.9,600.0,"North Indian, Mughlai, Rolls, Fast Food",169
Vinaya Cafe,JP Nagar,3.7,200.0,"South Indian, Street Food, Juices",55
Mini Punjabi Dhaba,Banashankari,4.2,350.0,North Indian,287
Mojo Pizza - 2X Toppings,Koramangala 6th Block,4.4,600.0,Pizza,115
The Biriyani Pedia,BTM,4.0,300.0,"Biryani, North Indian",59
Just Bake,Jeevan Bhima Nagar,3.0,400.0,"Bakery, Desserts",51
Hyderabad Biryaani Palace,Sahakara Nagar,3.0,600.0,"North Indian, Chinese, Biryani",66
Absolute Waffles,New BEL Road,3.9,200.0,"Desserts, Fast Food",49
Shanghai Bistro,Sarjapur Road,4.1,800.0,"Chinese, Thai, Vietnamese",251
Muthashy's,BTM,4.2,400.0,"Kerala, South Indian, Chinese",470
Retreat Restaurant,RT Nagar,3.5,500.0,"Chinese, North Indian",86
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Ulsoor,4.2,500.0,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",382
Keventers,Koramangala 5th Block,4.0,400.0,"Desserts, Beverages, Ice Cream",169
Udupi Thaja Thindi,BTM,2.9,250.0,"North Indian, South Indian, Chinese, Fast Food",42
The Ritz-Carlton Bar - The Ritz-Carlton,Residency Road,4.0,2000.0,Finger Food,95
Kadai Crust - Amma Veetu Samayal,Indiranagar,3.8,700.0,"Chettinad, South Indian, Biryani",263
Cottage Loaf,Hennur,4.0,250.0,"Bakery, Fast Food",50
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,3.8,1350.0,"North Indian, Afghani",176
Rasovara,Lavelle Road,4.3,1400.0,"Rajasthani, North Indian",765
Faasos,Rajajinagar,3.9,500.0,"North Indian, Biryani, Fast Food",184
Flavorsome Bakes,Bannerghatta Road,4.0,800.0,"Bakery, Desserts",93
Kirthi's Biryani,Banashankari,3.8,700.0,"Chinese, Cafe, Italian",145
Taaza Mithai,JP Nagar,3.9,100.0,"Mithai, Street Food",47
Pulimunchi,Indiranagar,4.3,1000.0,"Mangalorean, Seafood",695
Thalassery Restaurant,New BEL Road,3.8,600.0,"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",464
Masala Oota,Residency Road,3.6,500.0,"South Indian, Biryani",79
Dwaraka Grand,Kumaraswamy Layout,3.9,500.0,"South Indian, Chinese, Street Food, Juices",128
Tipsy Bull - The Bar Exchange,Indiranagar,4.4,1400.0,"Chinese, Continental, North Indian, Mexican",2993
Brewsky,JP Nagar,4.3,1600.0,"Continental, American",4321
Fava,Lavelle Road,4.4,1200.0,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",2041
Sri Lakshmi Dhaba,BTM,2.9,250.0,North Indian,257
Siddharth Restaurant,Whitefield,3.6,400.0,"North Indian, Chinese",33
Cream Stone,Koramangala 5th Block,4.2,500.0,"Desserts, Ice Cream, Beverages",346
Domino's Pizza,Bellandur,3.6,800.0,"Pizza, Fast Food",260
IceBreakers,Church Street,4.3,500.0,"Desserts, Ice Cream",184
Ruposhi Bangla,Electronic City,4.0,400.0,"Bengali, Chinese, North Indian, Seafood",159
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,4.4,1000.0,Vietnamese,1808
Dadi's Dum Biryani,BTM,4.1,800.0,"Biryani, North Indian, Mughlai",2732
Sharma's Malai & Masala,Koramangala 1st Block,4.0,650.0,North Indian,457
Salt Mango Tree,Indiranagar,4.2,800.0,Kerala,255
Hoppipola,Kalyan Nagar,4.4,1200.0,"Continental, Fast Food, European",816
Apsara Ice Cream,Bannerghatta Road,4.0,200.0,"Ice Cream, Desserts",65
#L-81 Cafe,HSR,3.9,400.0,"Fast Food, Beverages",48
Peppy Peppers,Banashankari,4.2,800.0,"Italian, North Indian, Mexican",244
Bonum cibum,HSR,4.5,1200.0,"Lebanese, Turkish",229
Chowmein,Seshadripuram,4.0,600.0,"North Indian, Chinese, Thai, Momos",280
BBQ'D - Global Grill & Brewery,Lavelle Road,4.3,1500.0,"BBQ, North Indian",458
Twiststick House,Basavanagudi,4.1,500.0,"Continental, Fast Food, Street Food, Momos",163
Punjabi Tadka,HSR,2.8,400.0,"North Indian, Chinese",188
Ghee Biryanis,BTM,3.4,500.0,"Biryani, North Indian",137
Rajdhani Thali Restaurant,Koramangala 7th Block,4.0,900.0,North Indian,797
Frozen Bottle,HSR,4.1,400.0,"Beverages, Desserts, Ice Cream",187
Behrouz Biryani,Banashankari,3.9,650.0,Biryani,230
Amour Fine Patisserie,HSR,4.0,500.0,"Cafe, Desserts, Continental",82
Cafe Daily Bread,Bellandur,3.7,600.0,"Bakery, Fast Food, Italian",128
Bhaiyaji Food Court,MG Road,3.4,300.0,"North Indian, Mithai",27
Kanti Sweets,Brigade Road,3.9,400.0,"Mithai, Street Food",104
PHEW (Play Hard Eat Wild),BTM,3.9,700.0,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",487
Krispy Kreme,Malleshwaram,4.1,300.0,"Desserts, Beverages",196
Rajan's Cafe,Domlur,2.8,300.0,"North Indian, Chinese, Fast Food",79
Sherlock's Pub,Koramangala 5th Block,3.9,1300.0,"Continental, North Indian, Chinese",600
Drunken Monkey,HSR,4.0,400.0,"Beverages, Fast Food",120
The Chariot,Brigade Road,2.9,350.0,"South Indian, North Indian, Chinese",50
South Tiffins,HSR,3.6,150.0,South Indian,144
Biriyani Zone,Whitefield,3.9,800.0,"Biryani, North Indian, Chinese, Seafood",1624
California Burrito,Koramangala 5th Block,4.1,400.0,"Mexican, Fast Food",1227
Falafel's - The Lebanese Haus,Koramangala 7th Block,2.9,300.0,Lebanese,53
Catch-up-ino,Banashankari,3.9,800.0,"Cafe, Fast Food, Continental, Chinese, Momos",133
